athlete,gender,gender_M,n_runs,total_km,avg_km,std_km,max_km,med_pace_min_km,avg_pace_min_km,std_pace_min_km,avg_speed_kmh,std_speed_kmh,avg_hr,std_hr,elev_gain_total,elev_gain_avg,elev_gain_std,weekly_km,best10_dist_km,best10_s,best10_h,pred_marathon_h,y_proxy
771514,M,1,76,510.9575,6.723125,2.948025354080253,15.978299999999999,5.747477903242707,6.080844559956575,1.8206371617586543,10.443841231207363,2.0947383520202942,158.95000000000002,11.798780285106435,4681.2,61.59473684210526,86.40025292360639,2.6474481865284973,10.1396,2741.0,0.7613888888888889,3.4514462416194975,1
1776170,M,1,656,7375.7042,11.243451524390244,7.5869812792541795,73.8689,5.6863966654771945,6.048135484247349,1.514475740643333,10.435164967094464,2.669421488349302,153.03719008264463,21.19210740200211,183487.7,279.7068597560976,512.4294731724284,19.736211544342506,10.083200000000001,2333.0,0.6480555555555556,2.9551164831654897,1
2013538,M,1,155,1697.6486,10.952571612903226,4.545498776951422,24.771099999999997,5.526866435237414,6.42755507109572,2.764869586703269,10.189395295580782,2.5084195056201306,147.35537190082644,11.296990383971178,46139.1,297.6716129032258,366.58507645545143,7.838746833773087,9.9926,2320.0,0.6444444444444445,2.966900088406958,1
2081128,M,1,752,9167.3676,12.190648404255318,3.6650450616736854,33.006,5.4064681018381995,5.640901098679782,1.0092255902550487,10.86319908775317,1.9229421606400758,142.73000000000002,12.190745724122525,185864.4,247.1601063829787,303.5596525243998,26.192478857142856,9.8044,2420.0,0.6722222222222223,3.1577899145390673,1
2138770,M,1,561,7710.2105,13.74369073083779,13.080626399217811,153.534,5.396699413390425,6.4080696783707864,2.963971249992545,10.544670190417902,3.6956652160945507,146.0645631067961,16.091699316149427,302772.0,539.7005347593583,758.1538766374726,26.23795503159942,9.8621,2527.0,0.7019444444444445,3.2769651733149714,1
2683270,M,1,153,1355.0243,8.856367973856209,4.946420616341701,22.505,5.07900677200903,5.09750038654543,0.7602965858451841,11.844053009650802,1.2727196296762833,,,15971.4,104.38823529411765,152.70464308126273,5.389301193181819,9.6051,2807.0,0.7797222222222222,3.7433855398219618,0
2913078,F,0,344,3130.4589,9.100171220930234,8.490071479193945,101.979,6.387169520773069,13.072803696103245,12.390511320103046,8.200078029962883,5.42695638788925,141.7469387755102,22.117728148405103,61462.9,178.67122093023255,332.307306864579,16.219994300518135,9.7202,2499.0,0.6941666666666667,3.290824281154536,1
3460571,M,1,427,3956.669,9.266203747072598,5.237242898987079,41.4699,5.413229161311953,6.323613551125747,6.258433113030236,10.488204256499642,3.1445199980967455,137.2239185750636,16.349387990589197,47927.4,112.24215456674473,229.44764221776305,15.862934135166094,9.989600000000001,2294.0,0.6372222222222222,2.934584226486645,1
3539760,M,1,370,3486.2395,9.422268918918919,5.632275229284169,59.606199999999994,5.782530427954015,9.919537914500015,40.274875363980826,10.069308750389647,2.998043061585174,144.16613418530352,14.970745085165722,54833.8,148.19945945945946,222.53463845289372,11.143231278538813,9.811200000000001,2469.0,0.6858333333333333,3.2193617759265742,1
3573750,M,1,1067,14125.0252,13.238074226804123,9.365484023118109,46.8864,5.768491692780701,5.894048032018434,0.9795443748307359,10.376212278568119,1.3349479268328672,129.7305847076462,14.852526102976064,141460.2,132.57750702905344,163.01162518014795,37.00418278443114,10.0312,2450.0,0.6805555555555556,3.120370558419847,1
5035018,F,0,855,10230.9104,11.965977076023393,9.716220506326197,120.912,5.451792071447145,5.663430611376912,1.1863521481524848,10.936566974657943,1.7580772071797848,159.6741869918699,9.65572993195928,175697.8,205.4945029239766,304.133043433166,33.201841817338895,10.088799999999999,2549.0,0.7080555555555555,3.2268152588590526,1
5151970,M,1,1190,15209.7819,12.781329327731092,4.819272006118157,36.880199999999995,5.352298555612581,5.910572571667032,1.620423346122342,10.717582430692401,2.274291088992705,145.91135135135136,8.91063922476009,542527.6,455.90554621848736,378.754227652984,41.850814976415094,9.8193,2279.0,0.6330555555555556,2.9690199414525593,1
5421161,M,1,572,6445.6748,11.268662237762237,4.590050733509352,27.2072,4.831421681889922,5.141559982383437,1.3467050836183587,12.095054453594846,1.9071769960444223,143.0836787564767,11.683473417906358,76390.6,133.55,199.04424808826496,22.514832135728543,10.0724,2235.0,0.6208333333333333,2.8342015758960883,1
5492554,M,1,200,2389.8026,11.949013,9.601373566555663,74.2877,6.061569678523297,6.762597114633176,2.174535087673084,9.689993529151494,3.0495217627753854,138.0970297029703,16.904303922052183,83876.0,419.38,655.6668135968614,20.400753902439025,9.5724,2849.0,0.7913888888888889,3.8131554532247036,0
5688059,M,1,740,9982.4779,13.489835,11.569092104161195,173.858,6.113066277747789,6.794084187231605,1.9411529844355335,9.381896608267258,3.994561048107619,150.18988235294117,13.68650231085336,359066.7,485.2252702702703,843.9756092819565,31.618708280542986,10.298,2549.0,0.7080555555555555,3.157373246015683,1
5861500,M,1,384,2818.297,7.339315104166666,3.4014929974080768,21.0179,5.688941508418024,5.822901816666586,1.3955220078434967,10.61863096375759,1.9370347601143179,150.54310850439882,11.115150802737869,22868.2,59.55260416666667,87.78834886735234,9.354233760075866,9.5421,2530.0,0.7027777777777777,3.3975986051611313,1
6215611,M,1,839,7248.8453,8.639863289630512,7.271603395435723,93.6078,5.155496205782885,6.092820883082786,3.998911650326524,11.342164271881801,3.2706067660472273,146.86565040650405,21.16177285412718,79077.5,94.25208581644816,207.74968712040805,13.882877455540356,10.428600000000001,1777.0,0.4936111111111111,2.171910911515233,1
6367873,M,1,681,5670.4631,8.32667121879589,5.070886225491193,24.7638,5.00651901022089,5.142291981944434,1.324197731457286,12.040396144195967,2.365312696054903,153.29771689497719,16.53576899829129,78880.1,115.82980910425846,197.8782286900768,20.481548864809085,10.1066,2123.0,0.5897222222222223,2.6825187235342485,1
6583234,M,1,697,6029.5998,8.65078880918221,6.816446085138412,68.067,5.341991988256077,7.231527812959179,25.45821677929067,10.829915656810858,2.274812739267109,145.51304347826087,15.03257990160118,98582.9,141.43888091822095,312.48351197038124,5.777850595482546,10.0464,2374.0,0.6594444444444445,3.0187265253639786,1
7191483,M,1,91,1030.6924,11.32629010989011,4.5527226273969505,41.457699999999996,5.414174582698096,5.455709075169509,0.45522787362774486,11.068130034217372,0.866408983287227,157.10192307692307,14.971823082889387,21033.0,231.13186813186815,153.2845320014898,6.668065434380775,9.748,2898.0,0.805,3.804714550706123,0
7947798,M,1,1009,11973.5978,11.866796630327055,6.044153414525639,75.9502,4.788246247117548,5.03137418459705,1.336819260993355,12.410972761144931,3.1960238195331105,138.39884792626728,16.658819898926136,188765.9,187.08216055500495,371.23557400608684,47.353211638418074,9.5799,2003.0,0.5563888888888889,2.67862837448357,1
8180382,M,1,500,4831.006,9.662012,5.867441305103415,66.30380000000001,4.711264913065174,5.153908374919598,2.8524703535678446,12.329054539863618,2.706389267619576,154.0476923076923,17.39065492348473,47355.6,94.71119999999999,219.0776194897201,18.70411615044248,9.9843,2111.0,0.5863888888888888,2.7020022359192293,1
8684584,M,1,142,1314.1776,9.254771830985915,4.510205043637683,22.172400000000003,5.884505225009423,9.134327881428016,23.189561869786445,9.677737187488535,2.220413173321933,152.04494382022472,10.489107025385422,28329.3,199.50211267605633,335.12309783827914,5.488808591885442,10.04,2321.0,0.6447222222222222,2.9533271290022385,1
10305317,F,0,228,1934.0147,8.482520614035087,3.5995585318601,21.0668,6.349724344962617,6.916827316890213,4.09022657598198,9.246990000515746,1.5938715491782787,152.023125,26.132370398143873,18464.8,80.98596491228069,137.87491961388847,8.372358008658008,10.000399999999999,3209.0,0.8913888888888889,4.100392715479234,0
10446972,M,1,604,7761.6487,12.850411754966887,6.903823167420296,72.81280000000001,5.290529951387017,6.082570978847849,4.675167846726655,22.870658659074156,292.68325700075053,144.03714285714284,9.444350406524897,182939.1,302.87930463576157,516.3930801428461,36.910014198369566,9.8859,2355.0,0.6541666666666667,3.046126084133107,1
